018 1 0.871 0
026 1 0.895 1
027 2 1.302 1 1
028 4 2.31 1 1 1 1
029 2 1.282 1 1
030 3 1.876 1 1 1
031 2 1.448 1 1
032 1 5.103 0
036 1 0.489 0
037 1 0.545 0
042 1 0.478 0
052 1 0.505 0
053 2 1.088 0 0
057 2 1.119 0 0
061 2 1.094 0 0
062 1 1.926 1
097 1 3.222 0
100 4 8.128 0 1 0 0
101 3 4.707 1 0 0
102 2 2.827 1 0
105 1 0.557 0
106 1 6.525 0
108 1 2.102 0
111 1 0.856 0
112 1 1.19 1
113 1 1.474 1
114 2 2.007 1 0
115 3 2.713 1 0 0
116 1 0.489 0
117 1 1.238 1
118 1 0.459 1
119 1 0.559 1
120 2 1.083 1 1
121 1 1.03 0
130 1 0.419 0
132 3 3.015 0 1 0
133 2 2.302 1 1
134 2 1.808 0 0
135 1 1.433 1
145 1 1.069 0
147 2 0.982 0 0
151 2 1.665 0 0
152 1 0.583 0
153 1 0.497 0
154 1 0.558 0
155 1 6.686 0
156 1 0.837 0
158 1 0.686 0
162 2 1.675 1 1
163 3 1.713 1 1 0
164 2 1.06 1 1
165 2 0.816 1 0
166 5 2.594 1 1 0 0 1
167 5 6.113 1 1 1 1 0
168 3 1.771 1 1 1
169 1 0.937 0
171 2 0.455 0 0
172 1 0.208 0
173 1 0.257 0
177 1 1.074 1
179 1 0.166 1
180 2 6.572 1 0
181 2 1.565 1 1
182 1 2.1 0
183 1 0.543 0
185 2 1.822 1 1
189 1 1.439 0
190 1 1.028 0
191 1 1.042 1
192 4 2.892 1 1 1 1
193 2 2.082 1 1
195 1 0.68 1
197 1 1.886 1
209 2 3.167 1 1
211 1 1.411 0
214 1 1.264 1
216 1 0.466 1
217 2 2.234 1 1
218 2 2.328 1 0
220 4 4.378 0 1 0 1
221 2 4.992 0 0
224 1 2.111 1
230 1 1.381 0
234 1 6.562 1
235 1 2.113 1
237 1 1.526 0
238 3 5.633 1 1 0
239 2 3.425 1 0
240 2 2.894 1 0
246 1 1.008 0
250 1 1.612 1
251 1 0.923 1
252 1 1.641 1
253 1 1.777 1
254 1 0.724 1
255 1 0.858 1
256 1 0.877 1
257 1 0.739 1
258 2 2.087 1 0
260 1 1.41 0
262 2 3.931 0 1
263 1 1.319 0
264 1 1.418 1
269 1 1.369 0
274 1 1.473 1
287 1 1.427 0
294 1 0.946 0
297 1 1.261 1
298 3 2.344 1 0 0
301 1 0.776 1
302 2 1.418 1 0
315 1 0.685 1
323 1 0.77 0
324 1 0.904 0
325 1 0.661 0
326 2 2.134 0 0
327 1 2.841 0
334 1 1.476 1
335 1 0.74 0
336 1 1.464 1
338 3 3.403 0 0 0
340 1 0.692 0
342 2 1.81 1 0
345 1 0.734 0
352 1 0.572 0
365 1 0.509 0
366 4 2.417 0 0 0 0
367 1 0.453 0
368 1 0.612 0
374 1 0.723 0
382 1 0.918 1
383 3 2.836 1 1 0
384 3 4.465 1 0 0
385 2 1.786 1 1
386 3 2.728 1 1 1
387 2 1.101 1 1
388 2 1.702 1 1
389 3 2.206 1 1 0
390 4 2.918 1 1 1 1
391 3 4.975 1 1 1
392 1 0.718 1
393 1 0.721 1
394 1 0.469 1
396 1 0.582 1
397 1 0.571 1
399 1 0.729 1
400 1 0.469 1
401 1 0.382 1
402 1 0.339 1
403 1 0.312 1
404 1 0.365 1
405 1 0.334 1
407 1 0.345 1
408 1 0.322 1
409 2 7.68 1 0
411 1 1.953 1
412 2 3.103 1 1
413 1 0.615 1
414 1 0.409 1
415 1 0.358 1
416 1 0.266 1
417 2 0.718 1 1
418 2 0.727 1 1
419 1 0.265 1
420 2 4.022 1 1
421 1 1.2 1
422 1 1.565 0
423 1 1.596 0
427 1 1.114 0
431 1 0.544 0
434 1 0.58 0
438 1 0.944 0
443 1 0.598 0
446 1 0.601 0
451 1 0.948 0
452 1 0.67 0
453 1 0.696 0
457 1 0.568 0
460 1 0.592 0
461 1 0.65 0
462 1 0.55 0
464 1 0.641 0
465 1 0.575 0
466 1 5.904 0
467 1 0.484 0
468 1 0.504 0
469 1 0.461 0
470 2 0.964 0 0
471 1 0.496 0
472 2 1.044 0 0
473 2 1.007 0 0
474 2 1.157 0 0
475 2 1.218 0 0
476 2 1.16 0 0
477 1 0.593 0
478 1 0.552 0
485 1 0.462 0
493 1 0.476 0
501 2 1.39 0 0
517 1 0.535 0
518 1 2.045 0
520 2 1.81 1 1
522 1 1.743 0
535 1 0.355 0
542 1 0.589 0
545 1 0.653 0
547 1 1.664 1
551 1 1.748 0
555 3 7.887 1 1 1
557 4 5.953 1 1 1 1
558 4 2.19 1 1 1 1
559 4 2.619 1 1 1 1
569 1 1.676 1
598 1 1.087 0
611 1 0.423 0
613 1 0.606 0
614 1 0.486 0
640 1 1.189 1
643 3 1.781 1 0 1
644 1 0.508 1
645 1 0.614 1
646 1 0.561 1
647 1 0.588 1
648 1 0.577 1
649 2 1.173 1 1
653 1 0.494 1
654 1 0.612 1
657 1 0.548 1
659 1 0.487 1
660 1 0.509 1
661 1 0.523 1
662 1 4.694 1
663 1 1.863 1
664 1 0.518 1
665 1 0.37 1
672 1 0.62 0
679 1 0.522 0
680 1 0.797 1
687 1 0.631 0
693 1 0.78 0
694 2 2.34 0 0
696 1 0.667 0
697 1 0.381 0
702 1 0.582 0
718 2 1.339 0 0
719 1 0.447 0
721 2 1.326 0 0
